[17:50:17] === FAST POSE TRAINING ===
[17:50:17] CPU Cores: 20, Compute threads: 16, Data workers: 8
[17:50:17] Subset: 15000, Batch: 8, Save every: 100
[17:50:22] Dataset: 15000 samples, 1875 batches per epoch
[17:50:26] Student params: 659,136
[17:50:26] Teacher loaded
[17:50:30] Starting training from batch 0...
[22:16:27] Batch 490/15000 | Loss: 16.3861 | Student: 40.1010 | Distill: 6.2227 | Time: 39.5s | ETA: 159.1h
[22:22:41] Batch 500/15000 | Loss: 14.7465 | Student: 35.7195 | Distill: 5.7580 | Time: 37.4s | ETA: 150.6h
[22:22:42]   Saved checkpoint at batch 500
[22:28:55] Batch 510/15000 | Loss: 14.2272 | Student: 34.5366 | Distill: 5.5232 | Time: 37.3s | ETA: 150.3h
[22:35:09] Batch 520/15000 | Loss: 14.4335 | Student: 34.3086 | Distill: 5.9156 | Time: 37.4s | ETA: 150.2h
[22:42:03] Batch 530/15000 | Loss: 16.5245 | Student: 41.0377 | Distill: 6.0188 | Time: 41.4s | ETA: 166.5h
[22:48:18] Batch 540/15000 | Loss: 15.5670 | Student: 37.2717 | Distill: 6.2650 | Time: 37.5s | ETA: 150.5h
[22:54:34] Batch 550/15000 | Loss: 16.2623 | Student: 41.2035 | Distill: 5.5732 | Time: 37.6s | ETA: 151.0h
[23:00:50] Batch 560/15000 | Loss: 14.9687 | Student: 36.8538 | Distill: 5.5894 | Time: 37.6s | ETA: 150.9h
[23:07:21] Batch 570/15000 | Loss: 16.8139 | Student: 40.2605 | Distill: 6.7654 | Time: 39.1s | ETA: 156.8h
[23:13:52] Batch 580/15000 | Loss: 13.8886 | Student: 33.3296 | Distill: 5.5567 | Time: 39.1s | ETA: 156.5h
[23:20:15] Batch 590/15000 | Loss: 15.4157 | Student: 39.6090 | Distill: 5.0472 | Time: 38.2s | ETA: 153.0h
[23:26:42] Batch 600/15000 | Loss: 13.9547 | Student: 35.3095 | Distill: 4.8026 | Time: 38.7s | ETA: 154.8h
[23:26:42]   *** Saved BEST at batch 600 ***
